pos_idx,ra,dec,src_index,num_matches,obs_jd,obs_date,mag,exp_duration_s,n_plates_total,n_study_plates,kp_max_02d,kp_bin,kp_label,nuclear_window
11,158.4,-60.0,270,1,2434896.23152,1954-06-02,14.3516263961792,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,308,1,2434902.263033,1954-06-08,13.13192367553711,,3724,240,3.0,0,Quiet (<5),False
11,158.4,-60.0,347,1,2434902.263039,1954-06-08,12.964973449707031,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,636,1,2434422.554266,1953-02-14,11.323827743530273,,3733,242,3.667,0,Quiet (<5),False
11,158.4,-60.0,804,1,2434902.237063,1954-06-08,12.458101272583008,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,929,1,2434896.256808,1954-06-02,14.983027458190918,,3640,252,3.0,0,Quiet (<5),False
11,158.4,-60.0,943,1,2434545.244346,1953-06-16,13.989252090454102,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,972,1,2434545.220096,1953-06-16,14.045909881591797,,3724,240,2.667,0,Quiet (<5),False
11,158.4,-60.0,1065,1,2434546.2111,1953-06-17,11.946822166442871,,3639,251,3.333,0,Quiet (<5),False
11,158.4,-60.0,1069,1,2434902.486382,1954-06-08,12.439119338989258,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,1091,1,2433473.203737,1950-07-10,13.176365852355957,,3639,251,3.667,0,Quiet (<5),False
11,158.4,-60.0,1099,1,2434545.213868,1953-06-16,13.726309776306152,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,1128,1,2434415.593854,1953-02-07,12.866463661193848,,3733,242,2.0,0,Quiet (<5),False
11,158.4,-60.0,1149,1,2434902.263029,1954-06-08,12.788640975952148,,3724,240,3.0,0,Quiet (<5),False
11,158.4,-60.0,1287,1,2434435.521331,1953-02-27,13.22669506072998,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,1363,1,2434896.23153,1954-06-02,14.372785568237305,,3733,242,3.0,0,Quiet (<5),False
11,158.4,-60.0,1382,1,2433769.34827,1951-05-02,14.99292278289795,,3640,252,7.333,3,G3 (7),False
11,158.4,-60.0,1389,1,2433451.219154,1950-06-18,16.47833824157715,,3733,242,4.0,0,Quiet (<5),False
11,158.4,-60.0,1565,1,2434422.556338,1953-02-14,11.708656311035156,,3733,242,3.667,0,Quiet (<5),False
11,158.4,-60.0,1613,1,2434100.23653,1952-03-28,16.1483097076416,,3724,240,4.667,0,Quiet (<5),False
11,158.4,-60.0,1674,1,2433468.205156,1950-07-05,15.555044174194336,,3724,240,6.0,2,G2 (6),False
11,158.4,-60.0,1695,1,2433750.221668,1951-04-13,13.136279106140137,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,1955,1,2434433.54336,1953-02-25,12.995827674865723,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,2019,1,2433012.228663,1949-04-05,16.46088981628418,,3724,240,3.333,0,Quiet (<5),False
11,158.4,-60.0,2169,1,2434100.236529,1952-03-28,15.728433609008789,,3724,240,4.667,0,Quiet (<5),False
11,158.4,-60.0,2301,1,2434545.238104,1953-06-16,14.134757041931152,,3724,240,2.667,0,Quiet (<5),False
11,158.4,-60.0,2308,1,2433451.28515,1950-06-18,15.951769828796387,,3733,242,4.0,0,Quiet (<5),False
11,158.4,-60.0,2368,1,2434433.526742,1953-02-25,13.574867248535156,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,2496,1,2433481.222371,1950-07-18,13.797599792480469,,3733,242,4.0,0,Quiet (<5),False
11,158.4,-60.0,2545,1,2433764.269897,1951-04-27,12.4701509475708,,3639,251,5.667,1,G1 (5),False
11,158.4,-60.0,2549,1,2434902.48637,1954-06-08,12.426474571228027,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,2593,1,2433484.218166,1950-07-21,13.70655632019043,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,2733,1,2434422.575039,1953-02-14,11.144734382629395,,3724,240,3.667,0,Quiet (<5),False
11,158.4,-60.0,2759,1,2434545.220106,1953-06-16,14.201845169067383,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,2761,1,2434545.220098,1953-06-16,14.433231353759766,,3639,251,2.667,0,Quiet (<5),False
11,158.4,-60.0,2842,1,2433474.214098,1950-07-11,15.718149185180664,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,2881,1,2434399.405463,1953-01-21,13.925479888916016,,3733,242,5.333,1,G1 (5),False
11,158.4,-60.0,3057,1,2434415.593859,1953-02-07,13.600659370422363,,3724,240,2.0,0,Quiet (<5),False
11,158.4,-60.0,3156,1,2434505.261761,1953-05-07,14.300065040588379,,3725,241,5.667,1,G1 (5),True
11,158.4,-60.0,3239,1,2434433.524649,1953-02-25,12.950098037719727,,3724,240,6.0,2,G2 (6),False
11,158.4,-60.0,3295,1,2434433.526745,1953-02-25,12.749460220336914,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,3475,1,2434545.23812,1953-06-16,13.335488319396973,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,3506,1,2433481.222364,1950-07-18,12.505936622619629,,3725,241,4.0,0,Quiet (<5),False
11,158.4,-60.0,3583,1,2434415.591779,1953-02-07,13.2214994430542,,3639,251,2.0,0,Quiet (<5),False
11,158.4,-60.0,3714,1,2433743.307245,1951-04-06,14.722323417663574,,3733,242,6.333,2,G2 (6),True
11,158.4,-60.0,3827,1,2434422.548029,1953-02-14,12.183815956115723,,3724,240,3.667,0,Quiet (<5),False
